ID,Collection,Description,Units,Timeframe,Source
Latitude,Latitude,Latitude,degrees,,
Longitude,Longitude,Longitude,degrees,,
CO Spring,Measurements of Pollution In The Troposphere (MOPITT),MOPITT Carbon monoxide spring,ppbv,2001-2010,
CO Summer,Measurements of Pollution In The Troposphere (MOPITT),MOPITT Carbon monoxide summer,ppbv,2001-2010,
NO2 SPRING,Ozone Monitoring Instrument (OMI),OMI Nitrogen dioxide spring,billion molecules/mm2,2004-2010,
NO2 Summer,Ozone Monitoring Instrument (OMI),OMI Nitrogen dioxide summer,billion molecules/mm2,2004-2010,
O3 Spring,Ozone Monitoring Instrument (OMI),OMI Ozone spring,Dobson Units,2004-2010,
O3 Summer,Ozone Monitoring Instrument (OMI),OMI Ozone summer,Dobson Units,2004-2010,
SIB3 carbon flux spring,SiB3 Modeled Global 1-degree Hourly Biosphere-Atmosphere Carbon Flux,SIB3 carbon flux spring,mol/m2/seg,1998-2006,https://webmap.ornl.gov/wcsdown/wcsdown.jsp?dg_id=909_132
SIB3 carbon flux summer,SiB3 Modeled Global 1-degree Hourly Biosphere-Atmosphere Carbon Flux,SIB3 carbon flux summer,mol/m2/seg,1998-2006,
UV Spring,Ozone Monitoring Instrument (OMI),OMI UV index spring,NASA Earth Observations,2004-2010,
UV Summer,Ozone Monitoring Instrument (OMI),OMI UV index summer,NASA Earth Observations,2004-2010,
Solar insolation spring,Clouds and Earth's Radiant Energy System (CERES),CERES Solar insolation spring,W/m2,2006-2010,
Solar insolation summer,Clouds and Earth's Radiant Energy System (CERES),CERES Solar insolation summer,W/m2,2006-2010,
Net radiation spring,FLASHFlux,FLASHFlux Net radiation spring,W/m2,2006-2011,
Net radiation summer,FLASHFlux,FLASHFlux Net radiation summer,W/m2,,
Water eq. anomaly Spring,Gravity Recovery and Climate Experiment (GRACE),GRACE Water equivalent anomaly spring,cm,2002-2010,
Water eq. anomaly Summer,Gravity Recovery and Climate Experiment (GRACE),GRACE Water equivalent anomaly summer,NASA Earth Observations,2002-2010,
Rainfall spring,Tropical Rainfall Monitoring Mission (TRMM),TRMM Rainfall spring,mm,2001-2010,
Rainfall summer,Tropical Rainfall Monitoring Mission (TRMM),TRMM Rainfall summer,mm,2001-2010,
Precipitable water spring,Moderate-resolution imaging spectroradiometer (MODIS): MOD05L2,MOD05L2 Total precipitable water (water vapor) spring,cm,2002-2010,https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/?process=ftpAsHttp&path=allData
Precipitable water summer,Moderate-resolution imaging spectroradiometer (MODIS): MOD05L2,MOD05L2 Total precipitable water (water vapor) summer,cm,2002-2010,
LTemp day spring,Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface day temperature spring,¡C,2001-2010,
LTemp day summer,Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface day temperature summer,¡C,2001-2010,
Ltemp  night spring,Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land surface night temperature spring,¡C,2001-2010,
LTemp night summer,Moderate-resolution imaging spectroradiometer (MODIS): MOD11C3,MOD11C3 Average land Surface night temperature summer,¡C,2001-2010,
NDVI Spring,Moderate-resolution imaging spectroradiometer (MODIS): MOD13Q1,MOD13Q1 Normalized difference vegetation indexspring,Index,2001-2010,
NDVI Summer,Moderate-resolution imaging spectroradiometer (MODIS): MOD13Q1,MOD13Q1 Normalized difference vegetation index summer,Index,2001-2010,
LAI Spring,Moderate-resolution imaging spectroradiometer (MODIS): MOD15A2,MOD16A2 Leaf area index during spring,m2/m2,2001-2010,NASA Earth Observations
LAI Summer,Moderate-resolution imaging spectroradiometer (MODIS): MOD15A2,MOD16A2 Leaf area index during summer,m2/m2,2001-2010,
PET,Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global potential evapotranspiration (PET),mm/yr,2000-2006,
ET,Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global evapotranspiration (ET),mm/yr,2000-2006,
LE,Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Global latent heat flux (LE),W/m2,2000-2006,
Aridity index,Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Aridity index ,Index,,https://vdeblauwe.wordpress.com/download/
Climatic water deficity,Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Climatic water deficity ,mm/yr,,https://vdeblauwe.wordpress.com/download/
Number of dry months,Moderate-resolution imaging spectroradiometer (MODIS): MOD16A2,MOD16A2 Number of dry months,days,,https://vdeblauwe.wordpress.com/download/
GPP Spring,Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Gross primary productivity spring,gC/m2/day,2001-2010,
GPP Summer,Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Gross primary productivity summer,gC/m2/day,,
NPP Spring,Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Net primary productivity spring,gC/m2/day,2001-2010,
NPP Summer,Moderate-resolution imaging spectroradiometer (MODIS): MOD17A2,MOD17A2 Net primary productivity summer,gC/m2/day,,
Topography,GTOPO30,GTOPO30 Topography,m,,
SRTM Elevation,NASA Shuttle Radar Topographic Mission (SRTM),SRTM 90m Digital Elevation Database v4.1,m,,
SMT Spring,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed Brightness Temperature summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
SMT Summer,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed Brightness Temperature spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
SMN Spring,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed NDVI spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
SMN Summer,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Smoothed NDVI summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
TCI Spring,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Temperature Condition Index spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
TCI Summer,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Temperature Condition Index summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
VCI Spring,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Condition Index spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
VCI Summer,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Condition Index summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
VHI Spring,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Health Index spring,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
VHI Summer,AVHRR Vegetation Health Product (NOAA STAR),AVHRR Vegetation Health Index summer,Index,1981_2010,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
CO2 Emissions,The International Satellite Land Surface Climatology Project (ISLSCP II),(ISLSCP II CO2 EMISSIONS,C/cm2/sec,1986-1995,ftp://satepsanone.nesdis.noaa.gov/VHP/tiff/
WB PVOUT,WORLD BANK Global Solar Atlas,WORLD BANK Photovoltaic power potential ,kWh/kWp,1994/1999/2007 (depending on the region) to 2015 ,http://globalsolaratlas.info/downloads/world
WB GHI ,WORLD BANK Global Solar Atlas,WORLD BANK Global horizontal irradiation,kWh/m2,1994/1999/2007 (depending on the region) to 2015 ,
WB DIF,WORLD BANK Global Solar Atlas,WORLD BANK Diffuse horizontal irradiation,kWh/m2,1994/1999/2007 (depending on the region) to 2015 ,
WB GTI ,WORLD BANK Global Solar Atlas,WORLD BANK Global irradiation for optimally tilted surface,kWh/m2,1994/1999/2007 (depending on the region) to 2015 ,
WB OPTA,WORLD BANK Global Solar Atlas,WORLD BANK Optimum tilt to maximize yearly yield,degrees,NA,
WB DNI ,WORLD BANK Global Solar Atlas,WORLD BANK Direct normal irradiation,kWh/m2,1994/1999/2007 (depending on the region) to 2015 ,
WB TEMP ,WORLD BANK Global Solar Atlas,WORLD BANK Air temperature at 2 m above ground level,¡C,1994-2015 ,
WB ELE,WORLD BANK Global Solar Atlas,WORLD BANK Terrain elevation above sea level,meters,NA,
GPCC Spring,GPCC Global Precipitation Climatology Centre ,GPCC Spring,mm,1951-2000,
GPCC Summer,GPCC Global Precipitation Climatology Centre ,GPCC Summer,mm,1951-2000,
WC2 Tmin spring,WorldClim Version2,WorldClim Minimum temperature spring,¡C,1970-2000,http://worldclim.org/version2
WC2 Tmin summer,WorldClim Version2,WorldClim Minimum temperature summer,¡C,1970-2000,http://worldclim.org/version2
WC2 Tmax spring,WorldClim Version2,WorldClim Maximum temperature spring,¡C,1970-2000,http://worldclim.org/version2
WC2 Tmax summer,WorldClim Version2,WorldClim Maximum temperature summer,¡C,1970-2000,http://worldclim.org/version2
WC2 Tmean spring,WorldClim Version2,WorldClim average temperature spring,¡C,1970-2000,http://worldclim.org/version2
WC2 Tmean summer,WorldClim Version2,WorldClim average temperature summer,¡C,1970-2000,http://worldclim.org/version2
WC2 Pre spring,WorldClim Version2,WorldClim precipitation spring,mm,1970-2000,http://worldclim.org/version2
WC2 Pre summer,WorldClim Version2,WorldClim precipitation summer,mm,1970-2000,http://worldclim.org/version2
WC2 Solar rad. Spring,WorldClim Version2,WorldClim solar radiation spring,kJ m-2 day-1,1970-2000,http://worldclim.org/version2
